episode,agent_type,steps,success,energy_remaining
0,FSM,224,true,79
1,FSM,460,true,45
2,FSM,246,true,57
3,FSM,146,true,56
4,FSM,338,true,66
5,FSM,308,true,96
6,FSM,82,true,19
7,FSM,36,true,65
8,FSM,324,true,80
9,FSM,116,true,86
10,FSM,60,true,41
11,FSM,56,true,45
12,FSM,268,true,35
13,FSM,500,false,59
14,FSM,332,true,72
15,FSM,500,false,59
16,FSM,328,true,76
17,FSM,260,true,43
18,FSM,114,true,88
19,FSM,280,true,23
20,FSM,500,false,59
21,FSM,500,false,59
22,FSM,244,true,59
23,FSM,82,true,19
24,FSM,76,true,25
25,FSM,88,true,13
26,FSM,144,true,58
27,FSM,500,false,59
28,FSM,258,true,45
29,FSM,242,true,61
30,FSM,92,true,9
31,FSM,496,true,9
32,FSM,456,true,49
33,FSM,482,true,23
34,FSM,110,true,92
35,FSM,220,true,83
36,FSM,350,true,54
37,FSM,124,true,78
38,FSM,156,true,46
39,FSM,468,true,37
40,FSM,500,false,59
41,FSM,152,true,50
42,FSM,144,true,58
43,FSM,268,true,35
44,FSM,324,true,80
45,FSM,186,true,16
46,FSM,130,true,72
47,FSM,250,true,53
48,FSM,284,true,19
49,FSM,80,true,21
